Contrast,Distractor_level,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges
Distractor_level,-,0.16,0.36,True,True,-5.1646,16.0,two-sided,0.0001,0.0042,bonf,299.462,-1.7831
Distractor_level,-,0.16,0.75,True,True,-4.2827,16.0,two-sided,0.0006,0.0257,bonf,61.481,-1.3806
Distractor_level,-,0.16,1.5,True,True,-5.45,16.0,two-sided,0.0001,0.0024,bonf,494.41,-1.7497
Distractor_level,-,0.16,3.0,True,True,-3.8499,16.0,two-sided,0.0014,0.0637,bonf,28.033,-1.1267
Distractor_level,-,0.16,6.0,True,True,-7.6205,16.0,two-sided,0.0,0.0,bonf,1.72e+04,-1.82
Distractor_level,-,0.16,12.0,True,True,-5.1434,16.0,two-sided,0.0001,0.0044,bonf,288.446,-1.0431
Distractor_level,-,0.16,25.0,True,True,-3.6329,16.0,two-sided,0.0022,0.1007,bonf,18.937,-0.7591
Distractor_level,-,0.16,50.0,True,True,-1.8483,16.0,two-sided,0.0831,1.0,bonf,0.998,-0.5225
Distractor_level,-,0.16,100.0,True,True,2.4596,16.0,two-sided,0.0257,1.0,bonf,2.492,0.8068
Distractor_level,-,0.36,0.75,True,True,2.5015,16.0,two-sided,0.0236,1.0,bonf,2.666,0.6064
Distractor_level,-,0.36,1.5,True,True,1.9893,16.0,two-sided,0.064,1.0,bonf,1.216,0.6333
Distractor_level,-,0.36,3.0,True,True,2.4088,16.0,two-sided,0.0284,1.0,bonf,2.297,0.8446
Distractor_level,-,0.36,6.0,True,True,1.4115,16.0,two-sided,0.1773,1.0,bonf,0.578,0.3687
Distractor_level,-,0.36,12.0,True,True,1.795,16.0,two-sided,0.0916,1.0,bonf,0.929,0.6368
Distractor_level,-,0.36,25.0,True,True,3.2799,16.0,two-sided,0.0047,0.2121,bonf,10.069,1.1235
Distractor_level,-,0.36,50.0,True,True,3.6208,16.0,two-sided,0.0023,0.1033,bonf,18.528,1.479
Distractor_level,-,0.36,100.0,True,True,6.2579,16.0,two-sided,0.0,0.0005,bonf,1963.04,2.0751
Distractor_level,-,0.75,1.5,True,True,-0.2048,16.0,two-sided,0.8403,1.0,bonf,0.254,-0.0528
Distractor_level,-,0.75,3.0,True,True,0.9279,16.0,two-sided,0.3672,1.0,bonf,0.363,0.2698
Distractor_level,-,0.75,6.0,True,True,-1.4766,16.0,two-sided,0.1592,1.0,bonf,0.622,-0.3121
Distractor_level,-,0.75,12.0,True,True,0.3731,16.0,two-sided,0.7139,1.0,bonf,0.265,0.1068
Distractor_level,-,0.75,25.0,True,True,1.748,16.0,two-sided,0.0996,1.0,bonf,0.872,0.6018
Distractor_level,-,0.75,50.0,True,True,2.6933,16.0,two-sided,0.016,0.7196,bonf,3.655,0.9999
Distractor_level,-,0.75,100.0,True,True,6.8425,16.0,two-sided,0.0,0.0002,bonf,5105.992,1.7512
Distractor_level,-,1.5,3.0,True,True,1.3992,16.0,two-sided,0.1808,1.0,bonf,0.57,0.3742
Distractor_level,-,1.5,6.0,True,True,-1.2135,16.0,two-sided,0.2425,1.0,bonf,0.468,-0.3166
Distractor_level,-,1.5,12.0,True,True,0.5665,16.0,two-sided,0.5789,1.0,bonf,0.287,0.163
Distractor_level,-,1.5,25.0,True,True,2.4809,16.0,two-sided,0.0246,1.0,bonf,2.579,0.7676
Distractor_level,-,1.5,50.0,True,True,3.344,16.0,two-sided,0.0041,0.1854,bonf,11.282,1.3235
Distractor_level,-,1.5,100.0,True,True,5.9735,16.0,two-sided,0.0,0.0009,bonf,1217.038,1.9628
Distractor_level,-,3.0,6.0,True,True,-2.4082,16.0,two-sided,0.0285,1.0,bonf,2.295,-0.6063
Distractor_level,-,3.0,12.0,True,True,-0.3952,16.0,two-sided,0.6979,1.0,bonf,0.267,-0.1221
Distractor_level,-,3.0,25.0,True,True,0.955,16.0,two-sided,0.3538,1.0,bonf,0.37,0.3413
Distractor_level,-,3.0,50.0,True,True,1.9327,16.0,two-sided,0.0712,1.0,bonf,1.122,0.72
Distractor_level,-,3.0,100.0,True,True,4.1213,16.0,two-sided,0.0008,0.036,bonf,45.871,1.5686
Distractor_level,-,6.0,12.0,True,True,1.5765,16.0,two-sided,0.1345,1.0,bonf,0.701,0.3762
Distractor_level,-,6.0,25.0,True,True,3.1505,16.0,two-sided,0.0062,0.2785,bonf,8.013,0.9572
Distractor_level,-,6.0,50.0,True,True,3.944,16.0,two-sided,0.0012,0.0522,bonf,33.25,1.4435
Distractor_level,-,6.0,100.0,True,True,6.7219,16.0,two-sided,0.0,0.0002,bonf,4204.495,2.0505
Distractor_level,-,12.0,25.0,True,True,2.4952,16.0,two-sided,0.0239,1.0,bonf,2.639,0.4061
Distractor_level,-,12.0,50.0,True,True,2.4671,16.0,two-sided,0.0253,1.0,bonf,2.522,0.7064
Distractor_level,-,12.0,100.0,True,True,6.3623,16.0,two-sided,0.0,0.0004,bonf,2334.777,1.4979
Distractor_level,-,25.0,50.0,True,True,1.1612,16.0,two-sided,0.2626,1.0,bonf,0.445,0.331
Distractor_level,-,25.0,100.0,True,True,4.9759,16.0,two-sided,0.0001,0.0062,bonf,214.194,1.3089
Distractor_level,-,50.0,100.0,True,True,4.578,16.0,two-sided,0.0003,0.0139,bonf,104.904,1.1698
phenotype,-,GT,IN,False,True,2.1628,6.0,two-sided,0.0738,0.2214,bonf,1.533,1.3298
phenotype,-,GT,ST,False,True,0.337,6.1792,two-sided,0.7473,1.0,bonf,0.496,0.1837
phenotype,-,IN,ST,False,True,-2.2876,10.321,two-sided,0.0444,0.1333,bonf,1.969,-1.0105
Distractor_level * phenotype,0.16,GT,IN,False,True,2.3238,6.0,two-sided,0.0591,1.0,bonf,1.738,1.4288
Distractor_level * phenotype,0.16,GT,ST,False,True,1.5556,5.4765,two-sided,0.1755,1.0,bonf,0.969,0.8943
Distractor_level * phenotype,0.16,IN,ST,False,True,-1.1355,6.6697,two-sided,0.2953,1.0,bonf,0.706,-0.5999
Distractor_level * phenotype,0.36,GT,IN,False,True,-4.2426,6.0,two-sided,0.0054,0.1627,bonf,7.802,-2.6087
Distractor_level * phenotype,0.36,GT,ST,False,True,-0.3076,9.5916,two-sided,0.7649,1.0,bonf,0.493,-0.1169
Distractor_level * phenotype,0.36,IN,ST,False,True,1.6092,9.5916,two-sided,0.1399,1.0,bonf,1.014,0.6117
Distractor_level * phenotype,0.75,GT,IN,False,True,-0.6,6.0,two-sided,0.5705,1.0,bonf,0.582,-0.3689
Distractor_level * phenotype,0.75,GT,ST,False,True,-1.7696,10.5399,two-sided,0.1057,1.0,bonf,1.171,-0.7717
Distractor_level * phenotype,0.75,IN,ST,False,True,-1.0277,8.6279,two-sided,0.332,1.0,bonf,0.66,-0.4915
Distractor_level * phenotype,1.5,GT,IN,False,True,0.0,6.0,two-sided,1.0,1.0,bonf,0.523,0.0
Distractor_level * phenotype,1.5,GT,ST,False,True,-0.251,3.4111,two-sided,0.8162,1.0,bonf,0.488,-0.1949
Distractor_level * phenotype,1.5,IN,ST,False,True,-0.4096,4.2668,two-sided,0.7018,1.0,bonf,0.504,-0.269
Distractor_level * phenotype,3.0,GT,IN,False,True,0.8115,6.0,two-sided,0.4481,1.0,bonf,0.634,0.499
Distractor_level * phenotype,3.0,GT,ST,False,True,1.415,4.4366,two-sided,0.2233,1.0,bonf,0.864,0.9076
Distractor_level * phenotype,3.0,IN,ST,False,True,0.6573,5.7963,two-sided,0.5362,1.0,bonf,0.547,0.3683
Distractor_level * phenotype,6.0,GT,IN,False,True,0.1325,6.0,two-sided,0.899,1.0,bonf,0.526,0.0814
Distractor_level * phenotype,6.0,GT,ST,False,True,-0.1704,4.1379,two-sided,0.8727,1.0,bonf,0.483,-0.1141
Distractor_level * phenotype,6.0,IN,ST,False,True,-0.5585,9.1452,two-sided,0.5899,1.0,bonf,0.527,-0.261
Distractor_level * phenotype,12.0,GT,IN,False,True,2.8823,6.0,two-sided,0.028,0.8392,bonf,2.707,1.7723
Distractor_level * phenotype,12.0,GT,ST,False,True,0.9214,4.6892,two-sided,0.4018,1.0,bonf,0.62,0.5727
Distractor_level * phenotype,12.0,IN,ST,False,True,-2.713,4.8277,two-sided,0.0437,1.0,bonf,3.173,-1.6601
Distractor_level * phenotype,25.0,GT,IN,False,True,5.3056,6.0,two-sided,0.0018,0.0546,bonf,16.734,3.2623
Distractor_level * phenotype,25.0,GT,ST,False,True,2.9286,10.0038,two-sided,0.0151,0.4522,bonf,4.092,1.3151
Distractor_level * phenotype,25.0,IN,ST,False,True,-2.8546,6.0903,two-sided,0.0285,0.8559,bonf,3.747,-1.5656
Distractor_level * phenotype,50.0,GT,IN,False,True,1.5785,6.0,two-sided,0.1655,1.0,bonf,0.995,0.9706
Distractor_level * phenotype,50.0,GT,ST,False,True,0.3926,5.4852,two-sided,0.7094,1.0,bonf,0.502,0.2256
Distractor_level * phenotype,50.0,IN,ST,False,True,-1.6353,10.4995,two-sided,0.1316,1.0,bonf,1.038,-0.7149
Distractor_level * phenotype,100.0,GT,IN,False,True,1.4402,6.0,two-sided,0.1999,1.0,bonf,0.906,0.8856
Distractor_level * phenotype,100.0,GT,ST,False,True,-1.3109,8.646,two-sided,0.2236,1.0,bonf,0.798,-0.6263
Distractor_level * phenotype,100.0,IN,ST,False,True,-2.6593,7.5084,two-sided,0.0305,0.9151,bonf,2.981,-1.3413
